,pos_caption,neg_caption,pos_image_id,pos_subject,pos_verb,pos_object,neg_verb,pos_matched_tense,neg_matched_tense
6185,The boat sails on the water.,the boat floats on the water.,3917,boat,sail,water,float,sails, floats
6193,person studying his field is standing,person studying his field is lying,3385,person,stand,field,lie,standing, lying
6195,The man is sitting in the sand.,the man is running in the sand.,1428,man,sit,sand,run,sitting, running
6197,A man stands on the seashore.,a man walks on the seashore.,211,man,stand,seashore,walk,stands, walks
6201,The person celebrates being a player.,the person directs being a player.,561,person,celebrate,player,direct,celebrates, directs
6209,A girl stands at a table.,a girl sits at a table.,1616,girl,stand,table,sit,stands, sits
6210,A toddler is running on the beach.,a toddler is walking on the beach.,1706,toddler,run,beach,walk,running, walking
6211,The woman runs in the sand.,the woman stands in the sand.,3756,woman,run,sand,stand,runs, stands
6215,man walking beside the shore,man running beside the shore,2395,man,walk,shore,run,walking, running
6232,The player hit the ball.,the player dive the ball.,544,player,hit,ball,dive,hit, dive
6240,A person diving for a soccer ball.,a person dropping for a soccer ball.,850,person,dive,ball,drop,diving, dropping
6241,A man is walking through the field.,a man is standing through the field.,1557,man,walk,field,stand,walking, standing
6242,The player threw the ball to another player.,the player congratulated the ball to another player.,2286,player,throw,player,congratulate,threw, congratulated
6244,A woman swims in the water.,a woman wades in the water.,3407,woman,swim,water,wade,swims, wades
6247,A woman sings on stage.,a woman performs on stage.,3923,woman,sing,stage,perform,sings, performs
6249,A player shoots for his team,a player celebrates for his team,2417,player,shoot,team,celebrate,shoots, celebrates
6254,The woman stands in the sand.,the woman sits in the sand.,595,woman,stand,sand,sit,stands, sits
6255,A woman floats on the sea.,a woman runs on the sea.,3491,woman,float,sea,run,floats, runs
6259,A man stands on a jetty.,a man sits on a jetty.,2538,man,stand,jetty,sit,stands, sits
6266,A mother holds her daughter.,a mother takes her daughter.,3844,mother,hold,daughter,take,holds, takes
6268,A person walks on a road.,a person runs on a road.,398,person,walk,road,run,walks, runs
6273,A dog is lying on the lawn.,a dog is sitting on the lawn.,3926,dog,lie,lawn,sit,lying, sitting
6274,A player on a horse use a mallet to hit the ball.,a player on a horse kick a mallet to hit the ball.,3448,player,use,ball,kick,use, kick
6276,A person jumps on the beach.,a person lays on the beach.,3190,person,jump,beach,lay,jumps, lays
6277,A person stands on a pier.,a person walks on a pier.,908,person,stand,pier,walk,stands, walks
6281,A portrait of a person hangs on a wall.,a portrait of a person stands on a wall.,580,person,hang,wall,stand,hangs, stands
6283,A person wander in the street,a person run in the street,1609,person,wander,street,run,wander, run
6286,Woman runs on the beach.,woman lies on the beach.,988,woman,run,beach,lie,runs, lies
6291,The player carried the ball to score the winning goal.,the player threw the ball to score the winning goal.,3154,player,carry,ball,throw,carried, threw
6295,A person is playing ball.,a person is holding ball.,1968,player,play,ball,hold,playing, holding
6298,A man floats in shallow water.,a man runs in shallow water.,2697,man,float,water,run,floats, runs
6300,Players walk to their match.,players stand to their match.,3932,player,walk,match,stand,walk, stand
6303,The artist performed at a concert,the artist played at a concert,3779,artist,perform,concert,play,performed, played
6304,The player missed the ball.,the player walked the ball.,1472,player,miss,ball,walk,missed, walked
6305,A boat is sailing in the river.,a boat is mooring in the river.,3934,boat,sail,river,moor,sailing, mooring
6326,A boy running through water.,a boy swimming through water.,2878,boy,run,water,swim,running, swimming
6330,A man is walking in the park.,a man is sitting in the park.,2857,man,walk,park,sit,walking, sitting
6331,Cars pass on the road.,cars line on the road.,3285,car,pass,road,line,pass, line
6342,A man sweeps the street.,a man runs the street.,1058,man,sweep,street,run,sweeps, runs
6347,A woman sits on the beach.,a woman runs on the beach.,2651,woman,sit,beach,run,sits, runs
6349,A person prepares to pass a ball.,a person prepares to fight a ball.,1617,person,pass,ball,fight,pass, fight
6360,A woman lies in a hammock.,a woman sits in a hammock.,1972,woman,lie,hammock,sit,lies, sits
6362,A kid walks along the coast of a beach.,a kid sits along the coast of a beach.,1842,kid,walk,beach,sit,walks, sits
6363,Two species of fish swim in water.,two species of fish walk in water.,1728,species,swim,water,walk,swim, walk
6365,A boy swims on a float in the water.,a boy runs on a float in the water.,754,boy,swim,water,run,swims, runs
6371,A player is bouncing a ball on a cricket bat.,a player is fumbling a ball on a cricket bat.,3826,player,bounce,ball,fumble,bouncing, fumbling
6376,A man walks by a tree.,a man sits by a tree.,3017,man,walk,tree,sit,walks, sits
6381,A footballer and player are celebrating.,a footballer and player are celebrating.,1135,footballer,celebrate,player,vie,No match,
6389,Puppies lie in the grass.,puppies sit in the grass.,3402,puppy,lie,grass,sit,lie, sit
6391,A girl with flowers runs through a field.,a girl with flowers walks through a field.,436,girl,run,field,walk,runs, walks
6400,Person is walking across the street.,person is wandering across the street.,2828,person,walk,street,wander,walking, wandering
6404,A woman stands in a park.,a woman sits in a park.,89,woman,stand,park,sit,stands, sits
6407,The girl stood in front of the doorway.,the girl sat in front of the doorway.,1254,girl,stand,front,sit,stood, sat
6414,A man lies on a bed.,a man sits on a bed.,1967,man,lie,bed,sit,lies, sits
6415,Person in an open room,person in an stand room,2516,person,open,room,stand,open, stand
6417,a woman is sitting on the grass,a woman is lying on the grass,395,woman,sit,grass,lie,sitting, lying
6418,A dog rests in the grass.,a dog sits in the grass.,1184,dog,rest,grass,sit,rests, sits
6421,The lady is sitting on the beach.,the lady is walking on the beach.,1707,lady,sit,beach,walk,sitting, walking
6423,I SEE THE PERSON IN A PHOTO WITH A BIG BELT,i bring the person in a photo with a big belt,3422,person,see,photo,bring,see, bring
6426,A person paints a picture.,a person takes a picture.,2258,person,paint,picture,take,paints, takes
6431,A person jumps into the sea.,a person swims into the sea.,364,person,jump,sea,swim,jumps, swims
6435,A woman walks through a field.,a woman lies through a field.,3485,woman,walk,field,lie,walks, lies
6436,The people are hanging from the tree.,the people are leaning from the tree.,2238,person,hang,tree,lean,hanging, leaning
6437,A man walks along a dune.,a man stands along a dune.,654,man,walk,dune,stand,walks, stands
6438,Older man sits on the floor in living room,older man stands on the floor in living room,1886,man,sit,room,stand,sits, stands
6439,A player slides to beat being tagged with the ball.,a player gathers to beat being tagged with the ball.,1019,player,slide,ball,gather,slides, gathers
6440,Two species wade in the water.,two species walk in the water.,1922,species,wade,water,walk,wade, walk
6441,A player is bouncing a ball on a cricket bat.,a player is sliding a ball on a cricket bat.,3826,player,bounce,ball,slide,bouncing, sliding
6445,boat sail on the lake,boat float on the lake,3952,boat,sail,lake,float,sail, float
6446,A man sits at a desk.,a man stands at a desk.,1541,man,sit,desk,stand,sits, stands
6447,A man runs across the forest.,a man walks across the forest.,1151,man,run,forest,walk,runs, walks
6451,man was jogging the beech,man was standing the beech,548,man,jog,beach,stand,jogging, standing
6458,The person will hike on the hill.,the person will slide on the hill.,2249,person,hike,hill,slide,hike, slide
6465,The animal rests in the grass.,the animal stands in the grass.,3584,animal,rest,grass,stand,rests, stands
6467,The man took the tennis ball.,the man hit the tennis ball.,1366,man,take,ball,hit,took, hit
6476,A dog is sitting on the floor.,a dog is laying on the floor.,376,dog,sit,floor,lay,sitting, laying
6481,A person sits under a tree,a person perches under a tree,310,person,sit,tree,perch,sits, perches
6484,The person holds his beer up to the soccer players.,the person talks his beer up to the soccer players.,1166,person,hold,player,talk,holds, talks
6487,Boy running on the road,boy walking on the road,1078,boy,run,road,walk,running, walking
6490,A girl is hitchhiking beside the road.,a girl is walking beside the road.,3691,girl,hitchhike,road,walk,hitchhiking, walking
6492,A woman lying in a field.,a woman standing in a field.,2910,woman,lie,field,stand,lying, standing
6493,A woman walks alone in the shallow water of the ocean.,a woman sits alone in the shallow water of the ocean.,1391,woman,walk,ocean,sit,walks, sits
6494,Woman crosses the road.,woman jogs the road.,1950,woman,cross,road,jog,crosses, jogs
6496,The person likes to listen to music made by another person.,the person likes to serve to music made by another person.,2907,person,listen,person,serve,listen, serve
6497,A woman sits looking at a field.,a woman walks looking at a field.,2909,woman,sit,field,walk,sits, walks
6498,A women is standing in a green field,a women is walking in a green field,3166,woman,stand,field,walk,standing, walking
6508,The athlete competes by swinging the ball,the athlete hits by swinging the ball,2754,athlete,compete,ball,hit,competes, hits
6518,The player will stretch before playing a game with a ball.,the player will punt before playing a game with a ball.,1604,player,stretch,ball,punt,stretch, punt
6523,A man is running up a hill.,a man is walking up a hill.,1030,man,run,hill,walk,running, walking
6530,woman runs track and field,woman stands track and field,261,woman,run,field,stand,runs, stands
6531,A boy runs into the water,a boy swims into the water,1624,boy,run,water,swim,runs, swims
6535,A person walks on grass.,a person sits on grass.,3963,person,walk,grass,sit,walks, sits
6536,A woman lies in the grass.,a woman stands in the grass.,795,woman,lie,grass,stand,lies, stands
6541,A person passes a ball.,a person competes a ball.,2860,person,pass,ball,compete,passes, competes
6542,A man runs on water.,a man wades on water.,285,man,run,water,wade,runs, wades
6543,A person takes a walk in a city.,a person takes a run in a city.,2365,person,walk,city,run,walk, run
6548,An animal species runs on the water.,an animal species wades on the water.,38,species,run,water,wade,runs, wades
6554,A person swims in the sea,a person jumps in the sea,1484,person,swim,sea,jump,swims, jumps
6556,A girl sits in the meadow to read.,a girl stands in the meadow to read.,2131,girl,sit,meadow,stand,sits, stands
6557,A person plays with a ball on the beach.,a person reaches with a ball on the beach.,1299,person,play,ball,reach,plays, reaches
6565,A player meets a fan.,a player salutes a fan.,3715,player,meet,fan,salute,meets, salutes
6571,A woman sits on a hammock.,a woman rests on a hammock.,877,woman,sit,hammock,rest,sits, rests
6575,A girl is standing behind a tree.,a girl is leaning behind a tree.,1172,girl,stand,tree,lean,standing, leaning
6576,A girl runs on a bridge.,a girl walks on a bridge.,1285,girl,run,bridge,walk,runs, walks
6577,A man lies on the couch.,a man sits on the couch.,2757,man,lie,couch,sit,lies, sits
6578,A person stands high in the tree.,a person sits high in the tree.,2370,person,stand,tree,sit,stands, sits
6582,A girl standing in grass.,a girl sitting in grass.,82,girl,stand,grass,sit,standing, sitting
6584,An animal runs in a meadow.,an animal sits in a meadow.,1859,animal,run,meadow,sit,runs, sits
6591,A player jumps for the ball.,a player gathers for the ball.,2743,player,jump,ball,gather,jumps, gathers
6593,A person is floating in the sea.,a person is swimming in the sea.,3518,person,float,sea,swim,floating, swimming
6600,An artist sings in a show.,an artist plays in a show.,3970,artist,sing,show,play,sings, plays
6605,The artist performed a concert.,the artist played a concert.,1444,artist,perform,concert,play,performed, played
6608,The person will float on the water.,the person will jump on the water.,3221,person,float,water,jump,float, jump
6610,A player throwing a ball.,a player standing a ball.,3973,player,throw,ball,stand,throwing, standing
6612,Father and daughter walk on beach.,father and daughter sit on beach.,2325,father,walk,beach,sit,walk, sit
6613,A woman sits on the couch arguing with another woman.,a woman lies on the couch arguing with another woman.,1287,woman,sit,couch,lie,sits, lies
6621,A man is speeding on the water.,a man is running on the water.,2698,man,speed,water,run,speeding, running
6631,A man sits with his back against the wall.,a man stands with his back against the wall.,91,man,sit,wall,stand,sits, stands
6634,A person hangs something on a wall.,a person sits something on a wall.,2101,person,hang,wall,sit,hangs, sits
6640,person stands on the room,person hangs on the room,198,person,stand,room,hang,stands, hangs
6643,A girl walking in the sea.,a girl running in the sea.,762,girl,walk,sea,run,walking, running
6666,A girl is floating on water.,a girl is pouring on water.,2889,girl,float,water,pour,floating, pouring
6678,A woman runs on the shore.,a woman sits on the shore.,988,woman,run,shore,sit,runs, sits
6680,A woman is jogging on the road.,a woman is crossing on the road.,3004,woman,jog,road,cross,jogging, crossing
6681,The woman is sitting against the wall.,the woman is standing against the wall.,178,woman,sit,wall,stand,sitting, standing
6683,A player taking control of a ball for his team,a player picturing control of a ball for his team,3633,player,take,team,picture,taking, picturing
6687,A man stands in front of a window.,a man sits in front of a window.,443,man,stand,front,sit,stands, sits
6691,The people perform a show.,the people attend a show.,1322,person,perform,show,attend,perform, attend
6693,The kitten lies in the grass.,the kitten sits in the grass.,1942,kitten,lie,grass,sit,lies, sits
6696,People kick in a game.,people celebrate in a game.,1396,person,kick,game,celebrate,kick, celebrate
6698,A man running up a hill.,a man walking up a hill.,1016,man,run,hill,walk,running, walking
6700,A mother carries a child.,a mother holds a child.,3987,mother,carry,child,hold,carries, holds
6701,The girl played with the ball.,the girl sat with the ball.,909,girl,play,ball,sit,played, sat
6702,A woman stretches by the coast.,a woman jogs by the coast.,3318,woman,stretch,coast,jog,stretches, jogs
6703,A boy swims in the sea.,a boy runs in the sea.,1962,boy,swim,sea,run,swims, runs
6704,A person jumps into the sea.,a person runs into the sea.,364,person,jump,sea,run,jumps, runs
6714,Woman is hitchhiking in the road.,woman is walking in the road.,1064,woman,hitchhike,road,walk,hitchhiking, walking
6718,An athelete celebrates with fans.,an athelete greets with fans.,3862,athlete,celebrate,fan,greet,celebrates, greets
6719,The person met the child.,the person pictured the child.,974,person,meet,child,picture,met, pictured
6721,A woman walks in a park.,a woman runs in a park.,1740,woman,walk,park,run,walks, runs
6722,A woman runs on the shore.,a woman sits on the shore.,988,woman,run,shore,sit,runs, sits
6724,A man rests on a beach.,a man walks on a beach.,842,man,rest,beach,walk,rests, walks
6726,The player kicks the football down the field.,the player runs the football down the field.,3991,player,kick,football,run,kicks, runs
6728,A girl jumps into the water.,a girl swims into the water.,153,girl,jump,water,swim,jumps, swims
6736,A man stands on a beach.,a man runs on a beach.,1889,man,stand,beach,run,stands, runs
6739,A couple jogs on a beach.,a couple jumps on a beach.,3197,couple,jog,beach,jump,jogs, jumps
6740,A man sits on a jetty.,a man stands on a jetty.,2457,man,sit,jetty,stand,sits, stands
6743,A person hangs over a beach.,a person jumps over a beach.,579,person,hang,beach,jump,hangs, jumps
6744,Men jogging on the beach.,men sitting on the beach.,2540,man,jog,beach,sit,jogging, sitting
6750,Players are standing on a sideline.,players are walking on a sideline.,914,player,stand,sideline,walk,standing, walking
6753,A woman sits in a field.,a woman lies in a field.,260,woman,sit,field,lie,sits, lies
6755,couple jump on the beach,couple jog on the beach,3780,couple,jump,beach,jog,jump, jog
6760,A person stands high in the tree.,a person rests high in the tree.,2370,person,stand,tree,rest,stands, rests
6762,Athletes run on a field.,athletes walk on a field.,3277,athlete,run,field,walk,run, walk
6774,The player argues with other players.,the player congratulates with other players.,1429,player,argue,player,congratulate,argues, congratulates
6775,A man strolls down the street.,a man runs down the street.,693,man,stroll,street,run,strolls, runs
6776,A man is sitting on a sofa.,a man is lying on a sofa.,1156,man,sit,sofa,lie,sitting, lying
6782,A fit woman running by the sea.,a fit woman walking by the sea.,763,woman,run,sea,walk,running, walking
6784,A baseball player throws a pitch.,a baseball player looks a pitch.,2427,player,throw,pitch,look,throws, looks
6789,A toddler is walking on the beach.,a toddler is running on the beach.,3572,toddler,walk,beach,run,walking, running
6793,A girl sits in the classroom.,a girl stands in the classroom.,676,girl,sit,classroom,stand,sits, stands
6800,A man walks through the forrest.,a man hikes through the forrest.,1948,man,walk,forest,hike,walks, hikes
6804,A man hikes through the forest.,a man jogs through the forest.,1457,man,hike,forest,jog,hikes, jogs
6805,A man stands in a field.,a man walks in a field.,635,man,stand,field,walk,stands, walks
6827,The person chipped the ball.,the person bumped the ball.,2070,person,chip,ball,bump,chipped, bumped
6829,The man took the tennis ball.,the man played the tennis ball.,1366,man,take,ball,play,took, played
6831,A brunette woman lies comfortably on a sofa.,a brunette woman sits comfortably on a sofa.,1801,woman,lie,sofa,sit,lies, sits
6833,a person bowl in the match,a person play in the match,224,person,bowl,match,play,bowl, play
6835,Man lies on the beach.,man walks on the beach.,3379,man,lie,beach,walk,lies, walks
6839,A player meets a fan.,a player salutes a fan.,3686,player,meet,fan,salute,meets, salutes
6842,A man walks along the shore.,a man sits along the shore.,1746,man,walk,shore,sit,walks, sits
6844,A woman and man walk along the seashore.,a woman and man stand along the seashore.,1169,woman,walk,seashore,stand,walk, stand
6847,A player dives for a ball.,a player steals for a ball.,2874,player,dive,ball,steal,dives, steals
6849,The person leans against tree.,the person perches against tree.,3055,person,lean,tree,perch,leans, perches
6855,A child runs on the beach.,a child sits on the beach.,1706,child,run,beach,sit,runs, sits
6856,A person with a laptop sits on a lawn.,a person with a laptop runs on a lawn.,3434,person,sit,lawn,run,sits, runs
6858,A man sits on a deck.,a man stands on a deck.,516,man,sit,deck,stand,sits, stands
6859,A woman runs along a shore.,a woman stands along a shore.,3163,woman,run,shore,stand,runs, stands
6865,The woman stood in the sand.,the woman sat in the sand.,2986,woman,stand,sand,sit,stood, sat
6869,woman sit on the bed,woman lie on the bed,111,woman,sit,bed,lie,sit, lie
6872,ball player walks,ball player takes,74,player,walk,ball,take,walks, takes
6875,the player is saving the ball from the kicker,the player is taking the ball from the kicker,3295,player,save,kick,take,saving, taking
6877,A boy runs in the street with a friend.,a boy walks in the street with a friend.,950,boy,run,street,walk,runs, walks
6880,A boy swims in the water.,a boy runs in the water.,3936,boy,swim,water,run,swims, runs
6881,A man walks the lake.,a man stands the lake.,546,man,walk,lake,stand,walks, stands
6884,A man speeding through water.,a man jumping through water.,2339,man,speed,water,jump,speeding, jumping
6885,A girl swims in the sea.,a girl walks in the sea.,3116,girl,swim,sea,walk,swims, walks
6886,The woman sits by the shore.,the woman walks by the shore.,2187,woman,sit,shore,walk,sits, walks
6892,The players look at each other on the pitch.,the players throw at each other on the pitch.,3745,player,look,pitch,throw,look, throw
6896,Players are celebrating after the game.,players are leaving after the game.,1340,player,celebrate,game,leave,celebrating, leaving
6899,A man speeding through water.,a man floating through water.,2339,man,speed,water,float,speeding, floating
6905,A woman sits on a branch above the sand.,a woman stands on a branch above the sand.,1632,woman,sit,sand,stand,sits, stands
6906,A man lies on the floor.,a man sits on the floor.,336,man,lie,floor,sit,lies, sits
6909,A man leans back in a chair.,a man sits back in a chair.,3944,man,lean,chair,sit,leans, sits
6912,A woman is running down a road at sunset.,a woman is hitchhiking down a road at sunset.,2313,woman,run,road,hitchhike,running, hitchhiking
6914,Players in a running session,players in a walking session,3012,player,run,session,walk,running, walking
6916,A person hugs her loved person,a person knows her loved person,626,person,hug,person,know,hugs, knows
6918,A man runs on the sidewalk,a man walks on the sidewalk,3781,man,run,sidewalk,walk,runs, walks
6932,A person returns a tennis shot.,a person competes a tennis shot.,2660,person,return,shot,compete,returns, competes
6934,A girl walks on the side of a street.,a girl runs on the side of a street.,26,girl,walk,street,run,walks, runs
6938,An artist is performing in a concert.,an artist is playing in a concert.,4018,artist,perform,concert,play,performing, playing
6941,A girl has swim in the water,a girl has jump in the water,2328,girl,swim,water,jump,swim, jump
6942,The man stands by the table.,the man sits by the table.,3673,man,stand,table,sit,stands, sits
6945,A person jumps near the sea.,a person walks near the sea.,2641,person,jump,sea,walk,jumps, walks
6948,The woman holds the dog.,the woman takes the dog.,2409,woman,hold,dog,take,holds, takes
6950,A woman walks down a path.,a woman walks down a path.,1274,woman,walk,path,,No match,
6952,The person ran on the trail.,the person walked on the trail.,1467,person,run,trail,walk,ran, walked
6954,A person jumping off the boat into the water.,a person running off the boat into the water.,3436,person,jump,water,run,jumping, running
6956,A train passes over a large bridge.,a train runs over a large bridge.,426,train,pass,bridge,run,passes, runs
6963,A male person takes a photo of himself smiling.,a male person sees a photo of himself smiling.,1935,person,take,photo,see,takes, sees
6964,A girl is walking on a road,a girl is crossing on a road,2626,girl,walk,road,cross,walking, crossing
6966,a person running to the sea,a person floating to the sea,273,person,run,sea,float,running, floating
6967,A girl walks down the road.,a girl crosses down the road.,498,girl,walk,road,cross,walks, crosses
6972,The player celebrates on the field with another player.,the player walks on the field with another player.,1148,player,celebrate,player,walk,celebrates, walks
6974,A woman runs in the park.,a woman sits in the park.,1660,woman,run,park,sit,runs, sits
6975,Children playing run toward the person taking the picture.,children carrying run toward the person taking the picture.,1732,person,play,child,carry,playing, carrying
6978,A girl sits in a tree.,a girl hangs in a tree.,55,girl,sit,tree,hang,sits, hangs
6979,A girl sits on a lawn.,a girl runs on a lawn.,300,girl,sit,lawn,run,sits, runs
6981,The woman is stretching at the beach.,the woman is strolling at the beach.,3410,woman,stretch,beach,stroll,stretching, strolling
6986,Man is walking on the boardwalk.,man is sitting on the boardwalk.,1268,man,walk,boardwalk,sit,walking, sitting
6988,People sitting in a meadow.,people standing in a meadow.,800,woman,sit,meadow,stand,sitting, standing
6990,A girl runs up a hill.,a girl walks up a hill.,1017,girl,run,hill,walk,runs, walks
6996,A person is performing in front of a crowd.,a person is celebrating in front of a crowd.,690,person,perform,crowd,celebrate,performing, celebrating
6997,A person passes a ball.,a person kicks a ball.,2860,person,pass,ball,kick,passes, kicks
6999,This woman is playfully jumping in the water.,this woman is playfully swimming in the water.,884,woman,jump,water,swim,jumping, swimming
7005,A person pulls another person.,a person sends another person.,1960,person,pull,person,send,pulls, sends
7011,The person stands in the room.,the person hangs in the room.,3146,person,stand,room,hang,stands, hangs
7013,A man sits by a lake.,a man swims by a lake.,1831,man,sit,lake,swim,sits, swims
7017,A kid walks on a beach.,a kid sits on a beach.,1356,kid,walk,beach,sit,walks, sits
7022,A player is bouncing a ball on a cricket bat.,a player is saving a ball on a cricket bat.,3826,player,bounce,ball,save,bouncing, saving
7023,A player celebrating with another cricketer.,a player meeting with another cricketer.,3986,player,celebrate,cricketer,meet,celebrating, meeting
7026,A PERSON WHO HOLS A PHOTO NEEDS TO DESCRIBE IT,a person who hols a photo needs to describe it,417,person,hold,photo,see,No match,
7027,The woman sits by the ocean.,the woman walks by the ocean.,2141,woman,sit,ocean,walk,sits, walks
7028,A player punts the ball with his foot.,a player holds the ball with his foot.,3658,player,punt,ball,hold,punts, holds
7030,The man pitched to the team.,the man played to the team.,2109,person,pitch,team,play,pitched, played
7032,A woman feeding a dog,a woman carrying a dog,173,woman,feed,dog,carry,feeding, carrying
7039,A woman sits on the couch arguing with another woman.,a woman rests on the couch arguing with another woman.,1287,woman,sit,couch,rest,sits, rests
7043,A person crosses a street.,a person runs a street.,3849,person,cross,street,run,crosses, runs
7049,man lying on couch,man sitting on couch,1511,man,lie,couch,sit,lying, sitting
7053,The man sits on the dune.,the man walks on the dune.,898,man,sit,dune,walk,sits, walks
7056,Woman standing in a park,woman running in a park,2056,woman,stand,park,run,standing, running
7068,A person will throw the pitch.,a person will walk the pitch.,4027,person,throw,pitch,walk,throw, walk
7072,a girl sitting on a bench,a girl lying on a bench,759,girl,sit,bench,lie,sitting, lying
7074,A man is standing on a wall.,a man is sitting on a wall.,442,man,stand,wall,sit,standing, sitting
7075,A woman laying on a couch.,a woman sitting on a couch.,1992,woman,lay,couch,sit,laying, sitting
7078,A person is walking on the grass.,a person is resting on the grass.,3742,person,walk,grass,rest,walking, resting
7081,A person running on a lawn.,a person sitting on a lawn.,2619,person,run,lawn,sit,running, sitting
7089,A puppy sits on the grass.,a puppy stands on the grass.,821,puppy,sit,grass,stand,sits, stands
7091,A man stands against a wall.,a man sits against a wall.,906,man,stand,wall,sit,stands, sits
7093,A woman jumping by the sea.,a woman floating by the sea.,1890,woman,jump,sea,float,jumping, floating
7097,A player walks on the mound.,a player stands on the mound.,4033,player,walk,mound,stand,walks, stands
7098,A girl walks with some water on her head.,a girl floats with some water on her head.,2923,girl,walk,water,float,walks, floats
7101,A woman sits in the grass.,a woman lies in the grass.,324,woman,sit,grass,lie,sits, lies
7104,An animal runs in a meadow.,an animal sits in a meadow.,1859,animal,run,meadow,sit,runs, sits
7108,A woman is running in the field.,a woman is lying in the field.,94,woman,run,field,lie,running, lying
7115,A player balances a ball on his head.,a player delivers a ball on his head.,4034,player,balance,ball,deliver,balances, delivers
7117,The players ran on the field.,the players took on the field.,1499,player,run,field,take,ran, took
7118,A woman hitchhiking on the road.,a woman walking on the road.,592,woman,hitchhike,road,walk,hitchhiking, walking
7123,A girl is floating on water.,a girl is carrying on water.,2889,girl,float,water,carry,floating, carrying
7124,A girl sits along the coast of a beach.,a girl walks along the coast of a beach.,880,girl,sit,beach,walk,sits, walks
7125,The dog is sitting in the lawn.,the dog is standing in the lawn.,3106,dog,sit,lawn,stand,sitting, standing
7130,A man is resting on the beach.,a man is standing on the beach.,1579,man,rest,beach,stand,resting, standing
7131,A player shooting a ball.,a player playing a ball.,3330,player,shoot,ball,play,shooting, playing
7133,A player kicks in a football game.,a player looks in a football game.,4038,player,kick,game,look,kicks, looks
7134,Trainer is having a stretch session with a player.,trainer is having a walk session with a player.,1395,player,stretch,session,walk,stretch, walk
7139,A woman lying in bed.,a woman sitting in bed.,3225,woman,lie,bed,sit,lying, sitting
7140,A kid is will walk on the beach.,a kid is will sit on the beach.,126,kid,walk,beach,sit,walk, sit
7143,A man hikes on a mountain.,a man walks on a mountain.,1371,man,hike,mountain,walk,hikes, walks
7144,People crossing the street.,people running the street.,1980,person,cross,street,run,crossing, running
7145,A woman is standing next to a chair.,a woman is resting next to a chair.,594,woman,stand,chair,rest,standing, resting
7146,A person stands in the lake,a person swims in the lake,874,person,stand,lake,swim,stands, swims
7149,The person sit in the window opposite side,the person stand in the window opposite side,3749,person,sit,window,stand,sit, stand
7152,A woman runs in the park.,a woman sits in the park.,1660,woman,run,park,sit,runs, sits
7154,A person sits on a branch.,a person hangs on a branch.,696,person,sit,branch,hang,sits, hangs
7155,A player is about to take his shot.,a player is about to save his shot.,166,player,take,shot,save,take, save
7162,Girl stands at a beach,girl enjoys at a beach,2801,girl,stand,beach,enjoy,stands, enjoys
7165,A person lies in the grass.,a person sits in the grass.,2035,person,lie,grass,sit,lies, sits
7166,The person chipped the ball.,the person returned the ball.,2070,person,chip,ball,return,chipped, returned
7167,Players kneel during the game.,players prepare during the game.,2145,player,kneel,game,prepare,kneel, prepare
7171,A puppy stands in a field.,a puppy sits in a field.,1252,puppy,stand,field,sit,stands, sits
7172,"woman, outside, dock","woman, outside, dock",2629,man,sit,boardwalk,walk,No match,
7174,A man is crossing the road.,a man is walking the road.,1994,man,cross,road,walk,crossing, walking
7178,A man swims in the sea.,a man walks in the sea.,1963,man,swim,sea,walk,swims, walks
7180,The person stood on the beach.,the person sat on the beach.,756,person,stand,beach,sit,stood, sat
7181,A woman running along the shore.,a woman walking along the shore.,1266,woman,run,shore,walk,running, walking
7182,A person can walk the new path at the lake.,a person can swim the new path at the lake.,3587,person,walk,lake,swim,walk, swim
7183,The girl is walking by the ocean.,the girl is running by the ocean.,775,girl,walk,ocean,run,walking, running
7186,A person gets down on knee to propose to person.,a person gets down on knee to hug to person.,1343,person,propose,person,hug,propose, hug
7188,The player saluted the fan,the player celebrated the fan,3685,player,salute,fan,celebrate,saluted, celebrated
7190,Person hitting ball with a backhand.,person playing ball with a backhand.,2737,person,hit,backhand,play,hitting, playing
7194,A person greets a crowd.,a person sings a crowd.,1642,person,greet,crowd,sing,greets, sings
7196,A person hugs another person.,a person attends another person.,3676,person,hug,person,attend,hugs, attends
7197,A mother is carrying her daughter,a mother is taking her daughter,201,mother,carry,daughter,take,carrying, taking
7202,The woman is sitting by the lake.,the woman is standing by the lake.,2150,woman,sit,lake,stand,sitting, standing
7204,A woman runs along a shore.,a woman stands along a shore.,3163,woman,run,shore,stand,runs, stands
7205,The child ran down the street.,the child crossed down the street.,825,child,run,street,cross,ran, crossed
7212,The man walks on water.,the man wades on water.,3521,man,walk,water,wade,walks, wades
7214,A mother is sitting on the beach.,a mother is running on the beach.,995,mother,sit,beach,run,sitting, running
7216,The dog is sitting in the meadow.,the dog is running in the meadow.,1258,dog,sit,meadow,run,sitting, running
7220,A man hikes up a mountain.,a man jumps up a mountain.,706,man,hike,mountain,jump,hikes, jumps
7221,A boy runs near the sea.,a boy swims near the sea.,3383,boy,run,sea,swim,runs, swims
7223,A person sits in a branch.,a person hangs in a branch.,2562,person,sit,branch,hang,sits, hangs
7228,A woman runs in a park.,a woman sits in a park.,3338,woman,run,park,sit,runs, sits
7235,This girl is laying on the ground.,this girl is laying on the ground.,53,girl,lie,ground,sit,No match,
7236,A woman is running along the coast.,a woman is stretching along the coast.,3228,woman,run,coast,stretch,running, stretching
